address,port,country,city,speed,type,anonymity
142.93.130.169,8118,Netherlands  Amsterdam,,1320 ms,HTTP,No
103.78.55.113,8080,Bangladesh,,2880 ms,HTTP,No
176.9.119.170,8080,Germany,,640 ms,HTTP,High
163.53.185.18,8080,Indonesia,,1940 ms,HTTP,No
102.129.249.120,8080,United States  Los Angeles,,1440 ms,HTTP,High
191.96.42.80,8080,United States  Chicago,,600 ms,HTTP,High
102.129.249.120,3128,United States  Los Angeles,,1440 ms,HTTP,High
139.59.62.255,8080,India  Bengaluru,,780 ms,HTTP,High
139.59.62.255,3128,India  Bengaluru,,780 ms,HTTP,High
139.59.64.9,3128,India  Bengaluru,,780 ms,HTTP,High
207.154.231.211,8080,United States  New York,,680 ms,HTTP,High
88.198.50.103,3128,Germany  Nuremberg,,320 ms,HTTP,High
67.205.146.29,3128,United States  North Bergen,,1100 ms,HTTP,High
139.59.61.229,8080,India  Bengaluru,,780 ms,HTTP,High
67.205.132.241,3128,United States  New York,,640 ms,HTTP,High
139.59.61.229,3128,India  Bengaluru,,920 ms,HTTP,High
67.205.146.29,8080,United States  Beverly,,620 ms,HTTP,High
46.135.226.171,8080,Czech Republic  Pilsen,,5100 ms,HTTP,No
185.131.62.250,53281,Czech Republic  ?eské Bud?jovice,,4960 ms,HTTP,High
93.185.96.62,41003,Czech Republic  Brno,,3080 ms,HTTP,High
93.99.176.84,3128,Czech Republic  Povrly,,3600 ms,HTTP,No
180.183.247.10,8080,Thailand  Bangkok,,1380 ms,HTTP,No
190.147.137.66,59947,Colombia  Barranquilla,,3640 ms,HTTP,High
200.116.198.177,49951,Colombia  Medellín,,5100 ms,HTTP,High
203.176.135.98,59691,Cambodia  Phnom Penh,,3960 ms,HTTP,High
159.224.243.185,37793,Ukraine  Dnipro,,2380 ms,HTTP,High
103.21.163.76,6666,India  Surendranagar,,4860 ms,HTTPS,High
187.108.86.40,30175,Brazil  Piracema,,5100 ms,HTTP,High
212.156.149.38,53100,Turkey  Nev?ehir,,5100 ms,HTTP,High
5.189.133.231,80,Germany,,4580 ms,HTTP,High
152.204.128.46,44335,Colombia  Medellín,,4440 ms,HTTP,High
151.253.165.70,8080,United Arab Emirates,,1080 ms,"HTTP, HTTPS",High
182.23.81.82,3128,Indonesia  Jakarta,,5100 ms,HTTP,High
1.186.151.206,36253,India  Bengaluru,,5100 ms,HTTP,High
103.227.147.142,37581,Indonesia  Jakarta,,1500 ms,HTTP,High
41.139.9.47,8080,Ghana,,5040 ms,HTTP,High
170.82.231.26,56805,Brazil,,2380 ms,HTTP,High
200.35.56.161,35945,Colombia  Planeta Rica,,4080 ms,HTTP,High
103.250.157.34,44611,India  Vadodara,,5100 ms,HTTP,High
103.221.254.44,56471,Bangladesh  Dhaka,,2900 ms,HTTP,High
140.227.205.216,3128,Japan,,4220 ms,HTTP,High
113.164.79.177,46281,Vietnam  Da Lat,,5100 ms,HTTP,High
41.164.247.186,53281,South Africa,,4840 ms,HTTP,High
179.108.169.71,8080,Brazil  Morro da Fumaca,,3300 ms,HTTP,High
